Attribute,Description,Required,columnType,DependsOn,Source,Parent,Valid Values
age,"Age of the individual (age in years of the individual at first recorded study event (enrollment, visit, observation, sample collection, survey completion, etc.)",True,STRING,,,ManifestColumn,
cohort,Name of the cohort the individual belongs to,True,STRING,,,ManifestColumn,
consentGroupID,"Indicate the consent group for the individual, provided by the data contributor's data dictionary",True,STRING,,,ManifestColumn,
countryCode,"Indicate the geographic region for the individual (shown as ex. ""840"")",True,INTEGER,,,ManifestColumn,
diagnosis,Indicate the disease or condition.,False,STRING,,,ManifestColumn,
diagnosisStatus,"Whether the individual has been diagnosed with a condition or disease (physical and/or cognitive), \True"" indicates the individual has been diagnosed""",True,STRING,,,ManifestColumn,"True,False"
ethnicGroupCode,"A coded value specifying the self-declared ethnic origination independent of racial origination, provided by the data contributor's data dictionary",False,STRING,,,ManifestColumn,
ethnicity,Ethnicity of individual,True,STRING,,,ManifestColumn,"Not Hispanic or Latino,Hispanic or Latino,Prefer not to answer"
fieldCenterCode,Name of the field center,True,STRING,,,ManifestColumn,"BU,PT,NY,DK"
individualID,"Identifying string linked to the individual or animal being studied, provided by the data contributor",True,STRING,,,ManifestColumn,
race,Race of individual,True,STRING,,,ManifestColumn,"White,Black or African American,Asian,American Indian or Alaska Native,Native Hawaiian or  Pacific Islander,Multiracial, race,Prefer not to answer"
sex,The biological sex of the individual,True,STRING,,,ManifestColumn,"Male,Female, Other, Not Available, Not Applicable, Unknown"
speciesGroup,The taxonomic ranking including both species and subspecies the individual belongs to.,True,STRING,,,ManifestColumn,"Human,Rodent,Bird,Mammal,Primate"
studyCode,"Unique identifier for the study, assigned by the DCC",True,STRING,,,ManifestColumn,"LC,LG,ILO,LLFS"
visitCode,"Indicate which longitudinal visit for the individual the data comes from, provided by the data contributor's data dictionary",True,NUMBER,,,ManifestColumn,
