Attribute,Description,Required,columnType,DependsOn,Source,Parent,Valid Values
conversionRatio,The ratio or % detailing how well the bisulfite conversion worked,True,STRING,,,ManifestColumn,
conversionRatioUnits,The units of measurement.,True,STRING,,,ManifestColumn,
directionalBSseqLibrary,Indicates whether or not the bisulfiteSeq library is directional,True,STRING,,,ManifestColumn,
dnaBatchID,"DNA isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
dnaBatchSize,The number of samples,True,NUMBER,,,ManifestColumn,
dnaBatchSizeUnit,The unit of measurement for number of samples in a batch,True,STRING,,,ManifestColumn,"AFU,AI,AU/ml,DK units/ml,bp g/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other"
enrichmentMethod,"The method used for performing an enrichment of specific regions by a restriction enzyme digest. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
gDNAconc,gDNA Concentration in ng,True,NUMBER,,,ManifestColumn,
isStranded,Whether or not the library is stranded.,True,BOOLEAN,,,ManifestColumn,"False,True"
lambdaDNAconc,Lambda DNA spike-in concentration in ng,True,NUMBER,,,ManifestColumn,
libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
libraryPrep,"The general strategy by which the library was prepared. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
libraryPreparationMethod,"Method by which library was prepared. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
libraryVersion,"Library Version- for example, rnaSeq 10x library version. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
meanCoverage,Total number of bases covered by ATAC-seq reads/size of genome,True,NUMBER,,,ManifestColumn,
measurementTechnique,"The name of the measurement technique describing the assay method. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
pcrCycles,Number of PCR cycles to amplify transposased DNA fragments,True,NUMBER,,,ManifestColumn,
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
readLength,The length of the read.,True,NUMBER,,,ManifestColumn,
readLengthUnits,The units of measurement.,True,STRING,,,ManifestColumn,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol.,True,STRING,,,ManifestColumn,"Forward Reverse,forward reverse"
referenceTranscriptID,"The ID for the transcript/gene. Either the NCBI ID or the Ensembl ID must be provided. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
runType,The type of run,True,STRING,,,ManifestColumn,"pairedEnd,singleEnd,singleEnd pairedEnd"
sampleType,"The type of sample collected or the term used to describe the source of a biospecimen used for a laboratory test. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
sequencingBatchSize,The number of samples,True,NUMBER,,,ManifestColumn,
sequencingBatchSizeUnit,The unit of measurement for number of samples in a batch,True,STRING,,,ManifestColumn,
specimenID,"Identifying string linked to a particular sample or specimen, provide by the data contributor",True,STRING,,,ManifestColumn,
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
totalReads,Total number of sequencing reads from a library.,True,NUMBER,,,ManifestColumn,
