Key,Key Description,Type,Source,Module
AFU,,,,Unspecified
AI,,,,Unspecified
AU/ml,,,,Unspecified
DK units/ml,,,,Unspecified
bpg/dl,,,,Unspecified
g/l,,,,Unspecified
gm,,,,Unspecified
HAU,,,,Unspecified
IU,,,,Unspecified
iu/l,,,,Unspecified
IU/ml,,,,Unspecified
Kallikrein Inactivator Unit per Milliliter,,,,Unspecified
kg,,,,Unspecified
l,,,,Unspecified
M,,,,Unspecified
mg,,,,Unspecified
mg/dl,,,,Unspecified
mg/l,,,,Unspecified
mg/ml,,,,Unspecified
miu/ml,,,,Unspecified
ml,,,,Unspecified
mM,,,,Unspecified
MOI,,,,Unspecified
ng,,,,Unspecified
ng/dl,,,,Unspecified
ng/ml,,,,Unspecified
ng/nl,,,,Unspecified
ng/ul,,,,Unspecified
nl,,,,Unspecified
nM,,,,Unspecified
Not Specified,,,,Unspecified
NPX,,,,Unspecified
optical density,,,,Unspecified
PFU,,,,Unspecified
PFUe,,,,Unspecified
pg,,,,Unspecified
pg/mg creatinine,,,,Unspecified
pg/ml,,,,Unspecified
pg/nl,,,,Unspecified
pg/ul,,,,Unspecified
pl,,,,Unspecified
pM,,,,Unspecified
Pound,,,,Unspecified
TCID50,,,,Unspecified
ug,,,,Unspecified
ug/dl,,,,Unspecified
ug/l,,,,Unspecified
ug/ml,,,,Unspecified
ug/ul,,,,Unspecified
uiu/ml,,,,Unspecified
ul,,,,Unspecified
uM,,,,Unspecified
umol/l,,,,Unspecified
units/ml,,,,Unspecified
OtherExperiementalBatchSizeUnit,,,,Unspecified
