Key,Key Description,Type,Valid Values,DependsOn,Required,Module,Source
individualID,"Identifying string linked to the individual or animal being studied, formatted as [site prefix] + [localID]",STRING,,,TRUE,,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.09d&code=C69256&ns=ncit
specimenID,Identifying string linked to a particular sample or specimen. For RC2 Samples: formatted as [IndividualID] + [Sample Type Abbreviation] + [Sample letter key] + [Subcategory of analysis type],STRING,,,TRUE,,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C166393
libraryID,Library ID as provided by the lab,STRING,,,FALSE,,
assay,The technology used to generate the data in this file,STRING,"rnaSeq,scrnaSeq",,TRUE,,
platform,"The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"HiSeqX,HiSeq4000,Illumina_1M,HiSeq3000,HiSeq2500,DNBSEQ,HiSeq1000,GAIIx,Illumina_h650,ddSEQ Single-Cell Isolator,confocalImaging,Bruker Avance III,Bionano Irys,Biograph mCT,HiSeq2000,Illumina_HumanOmni1-Quadv1.0,Illumina_Omni5M,Illumina MouseWG-6 v2.0 expression beadchip,IlluminaNovaseq6000,IlluminaWholeGenomeDASL,Infinium Global Diversity Array-8,Illumina_Infinium-HumanMethylation450-BeadChip,IlluminaInfiniumGSAMD-24v2-0,IlluminaMethylationEPIC,PacBioRSII,IlluminaHumanMethylation450,IlluminaHumanHT-12_V3_0_R1,IlluminaHumanHap650Yv3_A,IlluminaHumanHap300,Illumina_Omni5-Quad,Biocrates p180,Illumina_Omni2pt5M,Illumina_Omni2.5-8_v1.3,Illumina_Omni2.5-8_v1.1,Illumina_Omni2.5-8,llumina Infinium General Screening Array 24-Kit v3.0,BGISEQ-500,Perlegen300Karray,AffymetrixU133Plus2,orbitrap,Xevo TQ-S,Agilent44Karray,NextSeq2000,NextSeq500,NanostringnCounter_MouseADPanel,NanostringnCounter,MiSeq,LTQOrbitrapXL,InfiniumPsychArrayBeadChip,Infinium Omni2.5Exome-8 v1.5,Infinium Omni2.5Exome-8 v1.4,Infinium Omni2.5Exome-8 v1.3,Infinium Omni2.5Exome-8 v1.1,Infinium HumanOmniExpressExome,OrbiTrap Fusion,Orbitrap Fusion Lumos,Olink Target 96,triple quadrupole,AffymetrixU133AB,Affymetrix Human Gene 1.0 ST Array,PacBio Sequel II,Xevo G2 QTOF,PsychChip,Affy6.0,Affy5.0,Illumina NovaSeq 6000,Q Exactive HF,Q Exactive,time-of-flight,Simoa HD-1 Analyzer,Signa Premier AIR 3T,IlluminaMiSeq,SequenomMultiplex,quadrupole time-of-flight,Q Exactive Plus",,FALSE,,
libraryPrep,The general strategy by which the library was prepared,STRING,"lncRNAenrichment,SureCell,totalRNA,MULTIseq,multiome,miRNAenrichment,methylSeq,proximity ligation,EndItDNAEndRepairKit,STARRSeq,DNALibraryConstruction,Chromium Single Cell 3',cellHashing,amplicon,polyAselection,SPLITseq,rRNAdepletion,KapaHyperPrep,PCRfree",,FALSE,,
libraryPreparationMethod,Method by which library was prepared,STRING,"Drop-Seq,sac-seq,NexteraXT,Smart-seq1,10x,Omni-ATAC,Accel-NGS Methyl-Seq,CEL-seq,NEBNext,Smart-seq2,Smart-seq4,SMRTbell,TruSeq,Ultralow Methyl-Seq,Accel-NGS 2S Plus",,FALSE,,
libraryVersion,"The version of the library. For example, rnaSeq 10x library version",DOUBLE,,,FALSE,,
libraryType,"The type of library, in assays where samples are barcoded or hashed for multiplexing or each sample has multiple libraries amplified separately before pooled sequencing.",STRING,"ADT,plasmid DNA,HTO,CMO,LMO,cDNA,polyA enriched,ribozero depletion,globin depletion",,FALSE,,
isStranded,Whether or not the library is stranded.,BOOLEAN,"False,True",,FALSE,,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,STRING,"forward,reverse",,FALSE,,
readLength,The length of the read,DOUBLE,,,FALSE,,
runType,The sequencing read types,STRING,"singleEnd,pairedEnd",,FALSE,,
referenceSet,"A set of references (e.g., canonical assembled contigs) which defines a common coordinate space for comparing reference-aligned experimental data.",STRING,"GRCh37,GRCm38,MMUL1.0,HRC,1000 Genomes phase 3,GRCh38,dmel_r6.06",,FALSE,,
sampleStatus,Conditions under which sample is kept,STRING,"frozen,paxgene,formalin-fixed,fresh",,FALSE,,
analysisThresholds,The minimum counts-per-million (CPM) threshold,DOUBLE,,,FALSE,,
analysisType,Type of analysis,STRING,"differential expression,eQTL",,FALSE,,
nucleicAcidSource,,STRING,"bulk cell,bulk nuclei,single cell,single nucleus",,TRUE,,
alignmentInformation,Alignment information,STRING,,,FALSE,,
vendor,Information about vendor (novagene) processes,STRING,,,FALSE,,
sampleBarcode,The nucleotide sequence of the sample barcode used to identify cells from a single sample in cell hashing or multiplexing assays.,STRING,,,FALSE,,
RIN,RNA Integrity Number,DOUBLE,,,FALSE,,
rnaBatch,Batch in which RNA sample was isolated,STRING,,,FALSE,,
rnaIsolationKit,The technology used to isolate the RNA,STRING,,,FALSE,,
libraryBatch,Batch library was prepared in,STRING,,,FALSE,,
sequencingBatch,Batch library was sequenced in,STRING,,,FALSE,,
totalReads,Total number of raw sequencing reads from a library,DOUBLE,,,FALSE,,
validBarcodeReads,Fraction of reads with cell barcodes that match the whitelist,DOUBLE,,,FALSE,,
numberCells,Number of cells or nuclei sequenced,INTEGER,,,FALSE,,
medianGenes,The median number of genes detected (with nonzero UMI counts) across all cell-associated barcodes,DOUBLE,,,FALSE,,
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,"fastq,count matrix,bam,csv,xlsx,txt,pdf,tsv",,FALSE,,
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.",STRING,"raw,aligned,processed,normalized,aggregated",,FALSE,,
cellViability,A cell phenotype that consists of the cell's disposition to survive and develop normally. Provided as number of live cells per unit volume,DOUBLE,,,FALSE,,
ratio260over230,Ratio of absorbance at 230 nm and 260 nm. Measures protein or other contaminants. Range up to approximately 2.2.,DOUBLE,,,FALSE,,
ratio260over280,Measure of DNA vs. RNA purity. Range up to approximately 2.0.,DOUBLE,,,FALSE,,
uniqueGenes,The number of unique genes,INTEGER,,,FALSE,,
mappedReads,Mapped reads refer to those reads from the sequenced sample that align directly to a single region (set of loci) on the reference genome.,INTEGER,,,FALSE,,
rRNARate,The percentage of rRNA in a cell,DOUBLE,,,FALSE,,
totalUnmappedReads,The total number of unmapped reads from the sequenced sample to a single region (set of loci) on the reference genome.,DOUBLE,,,FALSE,,
dataType,Types of input/output data in bioinformatics pipelines,STRING,"genomicVariants,geneExpression",,TRUE,,
kitNumber,Kit serial number,STRING,,,TRUE,,
DV200,A method to determine the quality of RNA obtained from a sample. DV200 evaluates the percentage of fragments of greater than 200 nucleotides.,DOUBLE,,,FALSE,,
duplicationRate,The duplication rate is the fraction of mapped reads where any 2 reads share the same 5_ and 3_ coordinates.,DOUBLE,,,FALSE,,
