Key,Key Description,Type,Source,Module
Afghanistan,,STRING,,Clinical
Albania,,STRING,,Clinical
Algeria,,STRING,,Clinical
Andorra,,STRING,,Clinical
Angola,,STRING,,Clinical
Antigua and Barbuda,,STRING,,Clinical
Argentina,,STRING,,Clinical
Armenia,,STRING,,Clinical
Australia,,STRING,,Clinical
Austria,,STRING,,Clinical
Azerbaijan,,STRING,,Clinical
The Bahamas,,STRING,,Clinical
Bahrain,,STRING,,Clinical
Bangladesh,,STRING,,Clinical
Barbados,,STRING,,Clinical
Belarus,,STRING,,Clinical
Belgium,,STRING,,Clinical
Belize,,STRING,,Clinical
Benin,,STRING,,Clinical
Bhutan,,STRING,,Clinical
Bolivia,,STRING,,Clinical
Bosnia and Herzegovina,,STRING,,Clinical
Botswana,,STRING,,Clinical
Brazil,,STRING,,Clinical
Brunei,,STRING,,Clinical
Bulgaria,,STRING,,Clinical
Burkina Faso,,STRING,,Clinical
Burundi,,STRING,,Clinical
Cambodia,,STRING,,Clinical
Cameroon,,STRING,,Clinical
Canada,,STRING,,Clinical
Cape Verde,,STRING,,Clinical
Central African Republic,,STRING,,Clinical
Chad,,STRING,,Clinical
Chile,,STRING,,Clinical
China,,STRING,,Clinical
Colombia,,STRING,,Clinical
Comoros,,STRING,,Clinical
Congo,,STRING,,Clinical
 Republic of the,,STRING,,Clinical
Congo,,STRING,,Clinical
 Democratic Republic of the,,STRING,,Clinical
Costa Rica,,STRING,,Clinical
Cote d'Ivoire,,STRING,,Clinical
Croatia,,STRING,,Clinical
Cuba,,STRING,,Clinical
Cyprus,,STRING,,Clinical
Czech Republic,,STRING,,Clinical
Denmark,,STRING,,Clinical
Djibouti,,STRING,,Clinical
Dominica,,STRING,,Clinical
Dominican Republic,,STRING,,Clinical
East Timor (Timor-Leste),,STRING,,Clinical
Ecuador,,STRING,,Clinical
Egypt,,STRING,,Clinical
El Salvador,,STRING,,Clinical
Equatorial Guinea,,STRING,,Clinical
Eritrea,,STRING,,Clinical
Estonia,,STRING,,Clinical
Ethiopia,,STRING,,Clinical
Fiji,,STRING,,Clinical
Finland,,STRING,,Clinical
France,,STRING,,Clinical
Gabon,,STRING,,Clinical
The Gambia,,STRING,,Clinical
Georgia,,STRING,,Clinical
Germany,,STRING,,Clinical
Ghana,,STRING,,Clinical
Greece,,STRING,,Clinical
Grenada,,STRING,,Clinical
Guatemala,,STRING,,Clinical
Guinea,,STRING,,Clinical
Guinea-Bissau,,STRING,,Clinical
Guyana,,STRING,,Clinical
Haiti,,STRING,,Clinical
Honduras,,STRING,,Clinical
Hungary,,STRING,,Clinical
Iceland,,STRING,,Clinical
India,,STRING,,Clinical
Indonesia,,STRING,,Clinical
Iran,,STRING,,Clinical
Iraq,,STRING,,Clinical
Ireland,,STRING,,Clinical
Israel,,STRING,,Clinical
Italy,,STRING,,Clinical
Jamaica,,STRING,,Clinical
Japan,,STRING,,Clinical
Jordan,,STRING,,Clinical
Kazakhstan,,STRING,,Clinical
Kenya,,STRING,,Clinical
Kiribati,,STRING,,Clinical
Korea,,STRING,,Clinical
 North,,STRING,,Clinical
Korea,,STRING,,Clinical
 South,,STRING,,Clinical
Kosovo,,STRING,,Clinical
Kuwait,,STRING,,Clinical
Kyrgyzstan,,STRING,,Clinical
Laos,,STRING,,Clinical
Latvia,,STRING,,Clinical
Lebanon,,STRING,,Clinical
Lesotho,,STRING,,Clinical
Liberia,,STRING,,Clinical
Libya,,STRING,,Clinical
Liechtenstein,,STRING,,Clinical
Lithuania,,STRING,,Clinical
Luxembourg,,STRING,,Clinical
Macedonia,,STRING,,Clinical
Madagascar,,STRING,,Clinical
Malawi,,STRING,,Clinical
Malaysia,,STRING,,Clinical
Maldives,,STRING,,Clinical
Mali,,STRING,,Clinical
Malta,,STRING,,Clinical
Marshall Islands,,STRING,,Clinical
Mauritania,,STRING,,Clinical
Mauritius,,STRING,,Clinical
Mexico,,STRING,,Clinical
Micronesia,,STRING,,Clinical
 Federated States of,,STRING,,Clinical
Moldova,,STRING,,Clinical
Monaco,,STRING,,Clinical
Mongolia,,STRING,,Clinical
Montenegro,,STRING,,Clinical
Morocco,,STRING,,Clinical
Mozambique,,STRING,,Clinical
Myanmar (Burma),,STRING,,Clinical
Namibia,,STRING,,Clinical
Nauru,,STRING,,Clinical
Nepal,,STRING,,Clinical
Netherlands,,STRING,,Clinical
New Zealand,,STRING,,Clinical
Nicaragua,,STRING,,Clinical
Niger,,STRING,,Clinical
Nigeria,,STRING,,Clinical
Norway,,STRING,,Clinical
Oman,,STRING,,Clinical
Pakistan,,STRING,,Clinical
Palau,,STRING,,Clinical
Panama,,STRING,,Clinical
Papua New Guinea,,STRING,,Clinical
Paraguay,,STRING,,Clinical
Peru,,STRING,,Clinical
Philippines,,STRING,,Clinical
Poland,,STRING,,Clinical
Portugal,,STRING,,Clinical
Qatar,,STRING,,Clinical
Romania,,STRING,,Clinical
Russia,,STRING,,Clinical
Rwanda,,STRING,,Clinical
Saint Kitts and Nevis,,STRING,,Clinical
Saint Lucia,,STRING,,Clinical
Saint Vincent and the Grenadines,,STRING,,Clinical
Samoa,,STRING,,Clinical
San Marino,,STRING,,Clinical
Sao Tome and Principe,,STRING,,Clinical
Saudi Arabia,,STRING,,Clinical
Senegal,,STRING,,Clinical
Serbia,,STRING,,Clinical
Seychelles,,STRING,,Clinical
Sierra Leone,,STRING,,Clinical
Singapore,,STRING,,Clinical
Slovakia,,STRING,,Clinical
Slovenia,,STRING,,Clinical
Solomon Islands,,STRING,,Clinical
Somalia,,STRING,,Clinical
South Africa,,STRING,,Clinical
South Sudan,,STRING,,Clinical
Spain,,STRING,,Clinical
Sri Lanka,,STRING,,Clinical
Sudan,,STRING,,Clinical
Suriname,,STRING,,Clinical
Swaziland,,STRING,,Clinical
Sweden,,STRING,,Clinical
Switzerland,,STRING,,Clinical
Syria,,STRING,,Clinical
Taiwan,,STRING,,Clinical
Tajikistan,,STRING,,Clinical
Tanzania,,STRING,,Clinical
Thailand,,STRING,,Clinical
Togo,,STRING,,Clinical
Tonga,,STRING,,Clinical
Trinidad and Tobago,,STRING,,Clinical
Tunisia,,STRING,,Clinical
Turkey,,STRING,,Clinical
Turkmenistan,,STRING,,Clinical
Tuvalu,,STRING,,Clinical
Uganda,,STRING,,Clinical
Ukraine,,STRING,,Clinical
United Arab Emirates,,STRING,,Clinical
United Kingdom,,STRING,,Clinical
United States of America,,STRING,,Clinical
Uruguay,,STRING,,Clinical
Uzbekistan,,STRING,,Clinical
Vanuatu,,STRING,,Clinical
Vatican City (Holy See),,STRING,,Clinical
Venezuela,,STRING,,Clinical
Vietnam,,STRING,,Clinical
Yemen,,STRING,,Clinical
Zambia,,STRING,,Clinical
Zimbabwe,,STRING,,Clinical
