Key,Key Description,Type,Parent
Amniotic Fluid,,,ValidValue
B cell,,,ValidValue
Basophils,,,ValidValue
Epithelium,,,ValidValue
Feces,,,ValidValue
Fibroblast,,,ValidValue
Ileum,,,ValidValue
Red Blood Cell,,,ValidValue
Salivary Glands,,,ValidValue
Skin of body,,,ValidValue
Small intestine,,,ValidValue
Spleen,,,ValidValue
Stomach,,,ValidValue
Thymus,,,ValidValue
Trachea,,,ValidValue
Tumor Tissue,,,ValidValue
Urinary bladder,,,ValidValue
Urine,,,ValidValue
Vagina,,,ValidValue
Whole blood,,,ValidValue
blood,,,ValidValue
brain,,,ValidValue
