Key,Key Description,Valid Values,columnType,Parent,Module
10x,,,,ValidValue,ValidValues
Accel-NGS 2S Plus,,,,ValidValue,ValidValues
Accel-NGS Methyl-Seq,,,,ValidValue,ValidValues
Adult,,,,ValidValue,ValidValues
Affymetrix Genome-Wide Human SNP 5.0 Array,,,,ValidValue,ValidValues
AFU,,,,MeasurementUnit,ValidValues
Agilent 44Karray,,,,ValidValue,ValidValues
Aging,,,,ValidValue,ValidValues
AI,,,,MeasurementUnit,ValidValues
AIBL pool,,,,ValidValue,ValidValues
amplicon,,,,ValidValue,ValidValues
and Body Composition Study (HealthABC),,,,ValidValue,ValidValues
ArrayExpress,,,,ValidValue,ValidValues
AU/ml,,,,MeasurementUnit,ValidValues
Baker pool,,,,ValidValue,ValidValues
BGISEQ-500,,,,ValidValue,ValidValues
Bionano Irys,,,,ValidValue,ValidValues
bpg/dl,,,,MeasurementUnit,ValidValues
Broad Single Cell Portal,,,,ValidValue,ValidValues
Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS1,,,,ValidValue,ValidValues
Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS2,,,,ValidValue,ValidValues
BU,,,,ValidValue,ValidValues
bulk cell,,,,ValidValue,ValidValues
bulk nuclei,,,,ValidValue,ValidValues
CaptiveCaptivityStatus,"The duration of captivity in months for the individuals in captivity (formatted in months, ex. 72 months). note: Applicable only to animals with captivity status captive.","Unknown, Not collected, Not applicable",,ValidValue,ValidValues
Cardiovascular Health Study (CHS),,,,ValidValue,ValidValues
CEL-seq,,,,ValidValue,ValidValues
cellHashing,,,,ValidValue,ValidValues
Centenarian,,,,ValidValue,ValidValues
Cerebrospinal Fluid (CSF),,,,ValidValue,ValidValues
Cherry Imaging FACE Platform,,,,ValidValue,ValidValues
Cherry Imaging TRACE Platform,,,,ValidValue,ValidValues
Chromium Single Cell 3',,,,ValidValue,ValidValues
Chromium X,,,,ValidValue,ValidValues
d.p.c.,,,,ValidValue,ValidValues
dbGAP,,,,ValidValue,ValidValues
DDA-MS,,,,ValidValue,ValidValues
Denmark Family,,,,ValidValue,ValidValues
DIA-MS,,,,ValidValue,ValidValues
DK,,,,ValidValue,ValidValues
DK units/ml,,,,MeasurementUnit,ValidValues
ENA,,,,ValidValue,ValidValues
EndItDNAEndRepairKit,,,,ValidValue,ValidValues
Ensembl,,,,ValidValue,ValidValues
FALSE,,,,ValidValue,ValidValues
Filename,Name of the file. This helps to link annotations from metadata files.,,,ManifestColumn,ValidValues
FlowRepository,,,,ValidValue,ValidValues
forward,,,,ValidValue,ValidValues
FPKM,,,,ValidValue,ValidValues
g/l,,,,MeasurementUnit,ValidValues
GenBank,,,,ValidValue,ValidValues
GEO,,,,ValidValue,ValidValues
GIS,,,,ValidValue,ValidValues
GISAID,,,,ValidValue,ValidValues
