Attribute,Description,Required,columnType,DependsOn,Source,Parent,Valid Values
analysisType,Type of analysis,False,,,sage.annotations-analysis.analysisType-0.0.14,BaseAnnotation,"Clustering, Copy number estimation, DNA methylation imputation, EWAS, Enrichment analysis, Gene expression comparison, Genome-Wide Association, Mendelian randomization analysis, Polygenic Risk Scores, Sequence alignment, Supervised Machine Learning, Variant calling, assessment, batch effect correction, chromatin accessible quantitative trait loci detection, comparison, correlation, covariate specification, data mining, data normalization, de-novo assembly, differential expression, differential methylation, differential network analysis, dose response study, expression quantitative trait loci detection, genome-wide pleiotropy, genotype imputation, genotypeAncestry, hidden confounder detection, manifold learning, methylation quantitative trait loci detection, network analysis, network driver detection, outlier detection, peak calling, principal component analysis, protein quantitative trait loci detection, purity, quality control, search engine output files, somatic mutation calling, statistical network reconstruction, structural variation detection, transcript quantification, variancePartition, visualization,ANOVA"
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.",False,,,sage.annotations-experimentalData.dataSubtype-0.0.3,ManifestColumn,"analysis, metadata, normalized, processed, raw, residualized,dataMatrix"
dataType,Types of input/output data in bioinformatics pipelines,False,,,sage.annotations-experimentalData.dataType-0.0.3,ManifestColumn,"Pharmacokinetic Study, Weight, behavior process, cellularPhysiology, chromatinActivity, clinical, drugCombinationScreen, drugScreen, electrophysiology, epigenetics, geneExpression, genomicVariants, image, immunoassay, isoformExpression, kinomics, metabolomics, metagenomics, network, pharmacology, proteomics, surveyData,Volume"
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",False,,,sage.annotations-sageCommunity.fileFormat-0.0.12,BaseAnnotation,"DICOM, Python script, R script, RCC, RData, RLF, Sentrix descriptor file, Synapse Table, ab1, abf, avi, bai, bam, bash script, bcf, bed, bed broadPeak, bed gappedPeak, bed narrowPeak, bedgraph, bgzip, bigwig, bim, bpm, bsc, cel, chp, cram, csv, czi, dat, doc, dup, excel, fam, fasta, fastq, fig, flagstat, gct, gff3, gtf, gzip, hdf, hic, html, hyperlink, idat, idx, jpg, json, locs, maf, mat, md, md5, mov, mp4, msf, mtx, nirs, pdf, pdresult, pdstudy, pdview, plink, png, powerpoint, pzfx, raw, recal, rmd, saf, sam, sav, sdf, seg, sf3, sif, sqlite, sra, svg, svs, tab, tagAlign, tar, tbi, tif, tranches, tsv, txt, vcf, wiggle, xml, yaml, zip,7z"
grant,"Grant number including activity code, institute code, and serial number (e.g. U01MH103392)",False,,,sage.annotations-neuro.grant-0.0.2,BaseAnnotation,
isModelSystem,,False,,,sage.annotations-neuro.isModelSystem-0.0.2,BaseAnnotation,False
isMultiSpecimen,Boolean flag indicating whether or not a file has data for multiple specimens. Use either True or False,False,,,sage.annotations-experimentalData.isMultiSpecimen-0.0.2,BaseAnnotation,False
metadataType,"For files of dataSubtype: metadata, a description of the type of metadata in the file.",False,,,sage.annotations-experimentalData.metadataType-0.0.4,BaseAnnotation,"ID mapping, assay, biospecimen, data dictionary, individual, manifest, protocol,analytical covariates"
resourceType,The type of resource being stored and annotated,True,,,sage.annotations-sageCommunity.resourceType-0.0.5,ManifestColumn,"curatedData, experimentalData, metadata, report, softwareTool,analysis"
assay,The analysis or technology used to generate the data in this file,True,,,Sage Bionetworks,ManifestColumn,"16SrRNAseq, ATACSeq, Baker Lipidomics, Biocrates Bile Acids, Biocrates Q500, Biocrates p180, Blood Chemistry Measurement, CITESeq, CUT&Tag, ChIPSeq, DIA, DNA optical mapping, ELISA, FIA-MSMS, FitBark, Genotyping, HI-C, HPLC, HPLC-MSMS, HiChIPseq, ISOSeq, Immunocytochemistry, LC-MS, LC-MSMS, LC-SRM, LFP, LTP, Laser Speckle Imaging, MDMS-SL, MIB/MS, MRI, Metabolon, MudPIT, NOMe-Seq, Nightingale NMR, Positron Emission Tomography, RPPA, Rader Lipidomics, Real Time PCR, Ribo-Seq, STARRSeq, Sanger sequencing, SiMoA, TMT quantitation, UC Davis GCTOF, UCSD Untargeted Metabolomics, UPLC-ESI-QTOF-MS, UPLC-MSMS, Vernier Caliper, Wishart Catecholamines, Wishart High Value Metabolites, Zeno Electronic Walkway, active avoidance learning behavior, anxiety-related behavior, atomicForceMicroscopy, autoradiography, bisulfiteSeq, brightfieldMicroscopy, cellViabilityAssay, contextual conditioning behavior, electrochemiluminescence, elevated T maze apparatus method, elevated plus maze test, errBisulfiteSeq, exomeSeq, frailty assessment, high content screen, immunofluorescence, immunohistochemistry, in vivo bioluminescence, jumpingLibrary, kinesthetic behavior, label free mass spectrometry, lentiMPRA, liquid chromatography-electrochemical detection, lncrnaSeq, locomotor activation behavior, long-read rnaSeq, m6A-rnaSeq, mRNAcounts, memory behavior, methylationArray, microRNAcounts, mirnaArray, mirnaSeq, nextGenerationTargetedSequencing, novelty response behavior, open field test, oxBS-Seq, pharmacodynamics, pharmacokinetics, photograph, polymeraseChainReaction, proximity extension assay, questionnaire, rnaArray, rnaSeq, rotarod performance test, sandwich ELISA, scATACSeq, scCGIseq, scale, scirnaSeq, scrnaSeq, scwholeGenomeSeq, snATACSeq, snpArray, snrnaSeq, spontaneous alternation, tractionForceMicroscopy, von Frey test, westernBlot, wheel running, whole-cell patch clamp, wholeGenomeSeq,10x multiome"
