Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Type
clinicalMetadataTemplate,SysBio VEOIBD Clinical Metadata Template,,"individualID,familyID,site,participantRole,sex,GIPhenotype,immunodeficiencyDiagnosis,autoimmune,diseaseActivityLocation,upperDiseaseType,diseaseActivityBehavior,growthDelay,perianalInvolvement,extraintestinalManifestationsHistory,GISurgeries,IBDHistory,birthCountry,consanguinity,race,ethnicity,jewishOrigin,breastfed,secondHandSmokeExposure,isRC2,mesalamine,mesalamine_use,mesalamine_change,sulfasa,sulfasa_use,sulfasa_change,balsalazide,balsalazide_use,balsalazide_change,olsalazine,olsalazine_use,olsalazine_change,mercap6,mercap6_use,mercap6_change,azathioprine,azathioprine_use,azathioprine_change,methotrex,methotrex_use,methotrex_change,fk506,fk506_use,fk506_change,cyclospa,cyclospa_use,cyclospa_change,thalidomide,thalidomide_use,thalidomide_change,lenalidomide,lenalidomide_use,lenalidomide_change,infliximab,infliximab_use,infliximab_change,adalimumab,adalimumab_use,adalimumab_change,certolizumab,certolizumab_use,certolizumab_change,golimumab,golimumab_use,golimumab_change,natalizumab,natalizumab_use,natalizumab_change,tocilizumab,tocilizumab_use,tocilizumab_change,vedolizumab,vedolizumab_use,vedolizumab_change,ustekinumab,ustekinumab_use,ustekinumab_change,oralenteric,oralenteric_use,oralenteric_change,rectalstrd,rectalstrd_use,rectalstrd_change,oralsterd,oralsterd_use,oralsterd_change,intrasterd,intrasterd_use,intrasterd_change,metronida,metronida_use,metronida_change,ciproflox,ciproflox_use,ciproflox_change,trimethop,trimethop_use,trimethop_change,amoxicillin,amoxicillin_use,amoxicillin_change,vancomycin,vancomycin_use,vancomycin_change,ursodiol,ursodiol_use,ursodiol_change,cholestyr,cholestyr_use,cholestyr_change,rifampin,rifampin_use,rifampin_change,omega3,omega3_use,omega3_change,probiotic,probiotic_use,probiotic_change",,FALSE,DataType,,,,,
individualID,"Identifying string linked to the individual or animal being studied, formatted as [site prefix] + [localID]",,,,TRUE,DataProperty,,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.09d&code=C69256&ns=ncit,str,,
familyID,Identifying string linked to the family being studied,,,,FALSE,DataProperty,,Sage Bionetworks,,,
site,Site at which the participant was recruited,"BCH,TOR,MUN",,,TRUE,DataProperty,,Sage Bionetworks,,Clinical,STRING
participantRole,The role of the study participant within the family group,"Proband,Control,Mother,Father,Sibling",,,TRUE,DataProperty,,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=22.07d&code=C71384,,Clinical,STRING
Sibling,,,siblingType,,FALSE,DataProperty,,,,,
Proband,,,"ageAtDiagnosis,ageAtDiagnosisUnit",,FALSE,DataProperty,,,,,
siblingType,"The type of sibling. If participantRole=sibling, specify sibling type.","Full Sibling,Half Sibling",,,TRUE,DataProperty,,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C100809&ns=ncit,,Clinical,STRING
sex,The biological sex of the study participant,"Female,Male,Unknown",,,TRUE,DataProperty,,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=22.07d&code=C28421&ns=ncit,,Clinical,STRING
ageAtDiagnosis,The age of the participant at diagnosis,,,,TRUE,DataProperty,,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=22.07d&code=C156420&ns=ncit,num,,
ageAtDiagnosisUnit,Age at diagnosis unit,years,,,TRUE,DataProperty,,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=22.07d&code=C50400&ns=ncit,,Clinical,STRING
GIPhenotype,VEOIBD phenotype code indicating the GI diagnosis,"CD,UC,IBDU,OtherGI,Healthy",,,TRUE,DataProperty,,Sage Bionetworks,,Clinical,STRING
immunodeficiencyDiagnosis,Does the study participant have an immunodeficiency diagnosis?,"Yes,No,Unknown",,,FALSE,DataProperty,,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=22.07d&code=C39725&ns=ncit,,,
autoimmune,Does the study participant have a known autoimmune condition?,"Yes,No,Unknown",,,FALSE,DataProperty,,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C2889,,,
autoimmuneDetails,"Please specify which autoimmune disease the participant has, if any.",,,,TRUE,DataProperty,,,,,
diseaseActivityLocation,The location of GI disease or activity pertinent to VEOIBD study,"L1,L1. Ileal,L2,L2. Colonic,L3,L3. Ileocolonic,L4,L4*. Isolated upper disease,E1,E1. Ulcerative proctitis,E2,E2. Left-sided uc,E3,E3. Extensive,E4,E4. Pancolitis",,,FALSE,DataProperty,,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C117884,list like,Clinical,STRING
upperDiseaseType,"The type of upper GI disease. If diseaseActivityLocation=upper disease, please specify.","L4a,L4a. Upper disease proximal to ligament of treitz,L4b,L4b. Upper disease distal to ligament of treitz & proximal to distal 3rd ileum",,,FALSE,DataProperty,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8743432/,list like,Clinical,STRING
diseaseActivityBehavior,The behavior of GI disease,"Non-stricturing and non-penetrating,Stricturing,Penetrating,Both penetrating and stricturing,Never severe,Ever severe",,,FALSE,DataProperty,,Sage Bionetworks,,Clinical,STRING
growthDelay,Has the study participant experienced growth delay?,"Yes,No,Unknown",,,FALSE,DataProperty,,https://hpo.jax.org/app/browse/term/HP:0001510,,,
perianalInvolvement,Is there perianal involvement?,"Yes,No,Unknown",,,FALSE,DataProperty,,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C99148,,,
extraintestinalManifestationsHistory,Is there a history of extraintestinal manifestations?,"Yes,No,Unknown",,,FALSE,DataProperty,,,,,
GISurgeries,Has the study participant undergone any GI surgeries?,"Yes,No,Unknown",,,FALSE,DataProperty,,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C15330,,,
GISurgeriesDetails,"Please specify which GI surgeries the participant has undergone, if any.",,,,TRUE,DataProperty,,,,,
IBDHistory,Does the study participant have a family history of IBD?,"Yes,No,Unknown",,,FALSE,DataProperty,,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C3138,,,
